year,river,numSuitablePatches,numRejuvPatches,numPopPatches,numFertilePop,avgPatchAge,avgPopAge,populated,turned,turned_suitable,turned_unsuitable,sddEvents,lddEvents
0,1,51,13,13,10,30.92156862745098,15.0,1,4,2,2,1,2
0,2,49,11,16,13,30.26530612244898,13.0,1,3,3,0,2,1
0,3,48,9,10,8,32.0625,18.2,1,3,3,0,0,2
0,4,44,9,15,11,29.977272727272727,11.933333333333334,1,4,2,2,2,2
0,5,45,10,13,10,28.711111111111112,13.615384615384615,1,5,3,2,3,4
0,6,49,5,9,7,33.6530612244898,12.333333333333334,1,2,2,0,0,2
0,7,54,13,15,12,27.666666666666668,11.333333333333334,1,3,1,2,1,2
0,8,49,16,19,17,23.653061224489797,12.105263157894736,1,5,3,2,3,5
0,9,48,10,16,13,28.25,16.5,1,5,3,2,1,1
0,10,52,16,14,10,26.28846153846154,15.785714285714286,1,6,5,1,0,3
0,11,51,12,20,16,29.84313725490196,21.45,1,1,0,1,1,1
0,12,49,12,15,10,30.755102040816325,6.6,1,4,1,3,1,0
0,13,52,10,12,11,33.53846153846154,17.083333333333332,1,2,2,0,0,2
0,14,51,11,16,12,33.03921568627451,9.875,1,5,2,3,1,1
0,15,55,9,14,9,31.472727272727273,10.357142857142858,1,5,2,3,0,2
0,16,47,9,18,14,32.787234042553195,15.777777777777779,1,4,2,2,1,3
0,17,50,12,12,10,29.96,14.083333333333334,1,3,2,1,0,1
0,18,38,14,7,5,25.842105263157894,16.857142857142858,1,2,1,1,1,3
0,19,49,11,14,11,30.857142857142858,11.928571428571429,1,7,3,4,1,3
0,20,40,8,13,9,33.2,12.153846153846153,1,3,2,1,1,5
1,1,51,10,15,9,31.84313725490196,13.933333333333334,1,5,4,1,0,1
1,2,52,13,17,13,29.51923076923077,13.294117647058824,1,3,1,2,2,0
1,3,51,10,12,10,31.176470588235293,16.333333333333332,1,8,6,2,2,2
1,4,44,9,16,12,30.113636363636363,12.0,1,8,2,6,1,0
